0422_4,17.807,9.03354,2.5398,9.05347,10.8082,4.65508,2
0422_4,17.973,9.21166,2.56834,8.96546,10.65303,4.47631,2
0422_4,18.138,9.1391,2.45261,8.83018,10.46127,4.29242,2
0422_4,18.304,8.81712,2.31127,8.57428,10.22742,4.11323,2
0422_4,18.47,8.65991,2.22328,8.43004,10.0142,3.95587,2
0422_4,18.635,8.4639,2.10783,8.23228,9.88819,3.86146,2
0422_4,18.801,8.30014,2.04415,8.0606,9.75255,3.745,2
0422_4,18.966,8.11975,1.91892,7.95955,9.57565,3.6219,2
0422_4,19.132,8.05248,1.84759,7.89924,9.41608,3.53391,2
0422_4,19.297,7.92324,1.75221,7.79112,9.28925,3.40096,2
0422_4,19.463,7.80886,1.69329,7.62107,9.1902,3.38362,2
0422_4,19.629,7.67835,1.67136,7.5116,9.10684,3.2389,2
0422_4,19.795,7.63527,1.57862,7.45157,8.99487,3.16183,2
0422_4,19.961,7.50704,1.49751,7.30678,8.9038,3.01882,2
0422_4,20.127,7.48285,1.43173,7.23914,8.78082,2.90985,2
0422_4,20.294,7.39341,1.37439,7.15194,8.69993,2.92163,2
0422_4,20.459,7.23217,1.32446,7.01394,8.60089,2.77904,2
0422_4,20.626,7.07017,1.24599,6.95934,8.49194,2.68485,2
0422_5,0.239,-0.06606,-0.14471,-0.06584,-0.13218,-0.19636,1
0422_5,0.405,-0.24232,-0.2553,-0.0856,-0.22104,-0.33353,1
0422_5,0.57,-0.28232,-0.43489,-0.15381,-0.34162,-0.49936,1
0422_5,0.736,-0.37109,-0.60227,-0.18594,-0.428,-0.64146,1
0422_5,0.902,-0.43612,-0.73826,-0.23678,-0.40482,-0.79179,1
0422_5,1.067,-0.56696,-0.87252,-0.2618,-0.49284,-0.874,1
0422_5,1.233,-0.50606,-0.92183,-0.29156,-0.50388,-1.01328,1
0422_5,1.398,-0.59844,-1.10092,-0.30683,-0.64627,-1.13143,1
0422_5,1.564,-0.66941,-1.17639,-0.35108,-0.76327,-1.29068,1
0422_5,1.73,-0.78605,-1.32459,-0.42325,-0.87641,-1.33906,1
0422_5,1.896,-0.85418,-1.39856,-0.44484,-0.89159,-1.4504,1
0422_5,2.062,-0.94063,-1.54427,-0.49778,-1.00004,-1.53284,1
0422_5,2.228,-1.0054,-1.62024,-0.54598,-1.07813,-1.64911,1
0422_5,2.394,-1.14347,-1.74777,-0.60787,-1.18051,-1.60871,1
0422_5,2.558,-1.24514,-1.81826,-0.66371,-1.27571,-1.73601,1
0422_5,2.724,-1.34088,-1.94803,-0.69479,-1.3607,-1.76561,1
0422_5,2.889,-1.38011,-1.98987,-0.70216,-1.43493,-1.90536,1
0422_5,3.054,-1.41082,-2.08427,-0.68741,-1.4835,-1.90231,1
0422_5,3.219,-1.49701,-2.11092,-0.76616,-1.53207,-2.01223,1
0422_5,3.385,-1.5112,-2.18191,-0.75299,-1.6005,-2.07636,1
0422_5,3.551,-1.57675,-2.2524,-0.80251,-1.67722,-2.18064,1
0422_5,3.717,-1.65288,-2.36025,-0.84491,-1.72551,-2.21024,1
0422_5,3.883,-1.78191,-2.41156,-0.94684,-1.78097,-2.18745,1
0422_5,4.049,-1.85933,-2.49998,-0.95263,-1.85686,-2.276,1
0422_5,4.215,-1.92358,-2.55602,-1.00741,-1.91039,-2.37912,1
0422_5,4.38,-1.98913,-2.61954,-0.9874,-1.94985,-2.41318,1
0422_5,4.546,-2.00668,-2.62402,-1.07299,-2.01553,-2.35375,1
0422_5,4.71,-2.02087,-2.66064,-1.05008,-2.06548,-2.45992,1
0422_5,4.876,-2.05623,-2.68679,-1.07431,-2.07238,-2.56961,1
0422_5,5.042,-2.07481,-2.76251,-1.0593,-2.13833,-2.6551,1
0422_5,5.207,-2.08539,-2.81332,-1.07589,-2.1088,-2.74929,1
0422_5,5.373,-0.74838,-2.15775,1.30819,5.86584,15.85617,1
0422_5,5.538,5.92275,4.48562,2.44703,20.32529,36.06611,1
0422_5,5.703,13.60547,6.03587,8.50758,20.14178,33.49016,1
0422_5,5.868,12.3002,4.55536,8.2708,18.24629,30.13205,1
0422_5,6.034,9.21715,3.66018,6.46905,16.95264,27.52345,2
0422_5,6.199,7.64608,3.13538,5.06868,15.97992,26.01199,2
0422_5,6.365,6.69873,2.2915,3.92009,15.2241,24.94609,2
0422_5,6.531,6.3181,2.22899,3.11363,14.54775,23.95912,2
0422_5,6.696,5.61746,1.71863,2.57003,14.01185,23.19059,2
0422_5,6.863,5.07889,1.41525,2.18945,13.49473,22.60879,2
0422_5,7.028,4.70367,1.31438,1.79807,13.07777,22.06433,2
0422_5,7.194,4.34393,1.1587,1.49124,12.69447,21.61571,2
0422_5,7.359,3.9042,0.98136,1.14095,12.39728,21.04541,2
0422_5,7.525,3.7073,0.71859,0.83016,12.07994,20.75322,2
0422_5,7.691,3.48124,0.53825,0.53123,11.86056,20.7302,2
0422_5,7.857,3.24769,0.42866,0.17936,11.61358,20.13219,2
0422_5,8.023,3.20485,0.87799,-0.10798,11.36937,19.66196,2
0422_5,8.189,3.06189,0.27473,-0.34476,11.11301,19.46724,2
0422_5,8.356,3.03169,0.23139,-0.45748,10.8986,18.70082,2
0422_5,8.522,2.78499,-0.08792,-0.60234,10.69164,18.39548,2
0422_5,8.689,2.5739,-0.24609,-0.74456,10.50261,18.00557,2
0422_5,8.855,2.42293,-0.13126,-0.91813,10.33152,17.62459,2
0422_5,9.022,2.21648,-0.34123,-0.99609,10.20293,17.5088,2
0422_5,9.189,2.113,-0.51783,-1.14226,10.02439,16.93193,2
0422_5,9.355,1.93442,-0.82693,-1.03243,9.82875,16.67215,2
0422_5,9.521,1.93339,-0.88024,-1.24682,9.77466,16.45606,2
0422_5,9.686,1.77546,-1.00303,-1.36692,9.6204,16.19933,2
0422_5,9.852,1.61494,-1.28723,-1.41249,9.41593,15.8308,2
0422_5,10.017,1.60178,-1.19482,-1.57473,9.30831,16.02505,2
0422_5,10.182,1.55894,-1.33256,-1.67402,9.18247,16.15705,2
0422_5,10.347,1.5672,-1.42696,-1.59237,9.02601,15.34107,2
0422_5,10.513,1.4263,-1.68625,-1.60317,8.88914,14.93708,2
0422_5,10.678,1.29546,-1.82025,-1.72406,8.77379,14.69773,2
